problem2中所有流派的数据，分值0到1
genre,max_score,min_score,avg_score
Easy Listening and R&B;,0.7291264820002702,0.5432501336861266,0.630166623332549
Easy Listening and Vocal,0.7631755186532088,0.46462226562824377,0.6678738496316873
Easy Listening and Classical,0.8340766918845973,0.7263654081774291,0.7901694460829725
Easy Listening and Country,0.7800556077216896,0.49117799888277086,0.642561631128831
Easy Listening and Comedy/Spoken,0.7594478503001756,0.30155915294239977,0.5101066435635705
Easy Listening and Reggae,0.7467358968598309,0.44852749012805015,0.5957391178335661
Easy Listening and Pop/Rock,0.7097859354057624,0.38647500981363914,0.6171878460015165
Folk and New Age,0.7244471442045921,0.4957532798251384,0.6200098762208536
Folk and Electronic,0.7127834865522698,0.5462291860679563,0.627197707109308
Folk and Latin,0.8180448117577203,0.750685504153394,0.7889300773392158
Folk and Avant-Garde,0.8432744505800982,0.6450937151696787,0.7441289349448051
Folk and International,0.8181062135364309,0.7090745924279954,0.7780127159710333
Folk and Blues,0.8241480753215349,0.744924842512011,0.788608181864205
Folk and Religious,0.8195122623402905,0.6635489304012276,0.7544154394392706
Folk and Children's,0.8665136808328439,0.7009122292927382,0.7913845587779836
Folk and Jazz,0.778921947033383,0.6067150655996584,0.7009618312947112
Folk and Stage & Screen,0.8065478282711891,0.5153494895958306,0.6656238512807692
Folk and R&B;,0.8124272598325732,0.7155276000161556,0.7558805595576331
Folk and Vocal,0.8911879663203907,0.7622350092780067,0.8370460949200499
Folk and Classical,0.7644572729903082,0.4960207835790989,0.6792714901667053
Folk and Country,0.8823914372296138,0.7271109291495911,0.8184339901523046
Folk and Comedy/Spoken,0.7745178177438212,0.5438422319634721,0.6697801704791625
Folk and Reggae,0.7838145824008959,0.6074904511636544,0.7075515465925155
Folk and Pop/Rock,0.778490335264853,0.6161894614099155,0.7312716806101026
New Age and Electronic,0.7661809159861815,0.6159736625717014,0.6873918920882212
New Age and Latin,0.7396009712399276,0.4140561967913772,0.57598122083757
New Age and Avant-Garde,0.7652278758988555,0.4410186396524871,0.6728124789161171
New Age and International,0.7246985328255593,0.5349776768447208,0.6278518831126398
New Age and Blues,0.7519395689581617,0.4846293531398396,0.6180326368096567
New Age and Religious,0.6621352991448888,0.3731686577960792,0.5290984877530517
New Age and Children's,0.682197886214935,0.3357707284251493,0.5543520154305989
New Age and Jazz,0.8303175375484289,0.6570653841423381,0.7327879675209605
New Age and Stage & Screen,0.8361367068589799,0.6621491415377941,0.7687405582595112
New Age and R&B;,0.6929763071101579,0.43416971658009346,0.5547341043723389
New Age and Vocal,0.7507536664508401,0.4850051453650639,0.6271965236015586
New Age and Classical,0.8636387346595805,0.6233667525152183,0.7806667352051421
New Age and Country,0.6677638413343585,0.4537959228488586,0.5545301715511192
New Age and Comedy/Spoken,0.5972276943378845,0.2854778152601082,0.45549649769157025
New Age and Reggae,0.6621896828280385,0.3534122136668165,0.5465859393221871
New Age and Pop/Rock,0.7069387129661819,0.4337191371444769,0.5767346796632468
Electronic and Latin,0.7789913112438448,0.5310653505066874,0.6808659226421228
Electronic and Avant-Garde,0.7479556044502779,0.545976331150539,0.6530385325778508
Electronic and International,0.7473669551601199,0.5845415101383157,0.6702468089134237
Electronic and Blues,0.7461402814023329,0.6203291967186643,0.6870824568873377
Electronic and Religious,0.7794956629205396,0.520762451050289,0.6703899918750126
Electronic and Children's,0.7555005345893357,0.5320386133466509,0.6581582428386035
Electronic and Jazz,0.7463218948657283,0.5983761272130868,0.6651796746241062
Electronic and Stage & Screen,0.7095752159136565,0.4960646584048888,0.627675273292017
Electronic and R&B;,0.7909616619564254,0.5639135096033812,0.6955027842166691
Electronic and Vocal,0.7151994252352166,0.46326009655507067,0.6287672687457353
Electronic and Classical,0.7438956709452296,0.5197052129531887,0.6328178788095538
Electronic and Country,0.7581379246761983,0.5336505373710496,0.6690999035109532
Electronic and Comedy/Spoken,0.7314918134096721,0.4661352034033974,0.5804521619367959
Electronic and Reggae,0.8149279286786288,0.5510369427673943,0.6841895413529189
Electronic and Pop/Rock,0.7685770766754066,0.5985113328535173,0.7032724041147662
Latin and Avant-Garde,0.8055848539044499,0.6017307966361688,0.7370348972877753
Latin and International,0.8454068760440709,0.6718969632328025,0.7625963591215519
Latin and Blues,0.8418679089352709,0.7464167340597231,0.7974659825489404
Latin and Religious,0.8450388454270511,0.7388658610566489,0.7871192156803481
Latin and Children's,0.8269431498488204,0.7619016495711748,0.7966911526810972
Latin and Jazz,0.7873222742300324,0.5903449068325692,0.6902215600645559
Latin and Stage & Screen,0.7498269725902909,0.500267815318883,0.6118856395336515
Latin and R&B;,0.8377433040232052,0.7263734094208991,0.7878768640039145
Latin and Vocal,0.8522290993965737,0.750421868563941,0.7896676423970269
Latin and Classical,0.7241330028901526,0.5223911877662567,0.6223783159527101
Latin and Country,0.8830178762765297,0.7024489018550736,0.8020863307898339
Latin and Comedy/Spoken,0.7786758252786126,0.5284365390721836,0.6473278800944408
Latin and Reggae,0.8355819684659324,0.704084830894776,0.7572638025533288
Latin and Pop/Rock,0.8290669693739613,0.7125121227483204,0.7730592869727705
Avant-Garde and International,0.8116634391075693,0.6633792857450116,0.7457109979846873
Avant-Garde and Blues,0.8103808445435223,0.583479784071867,0.7268717837766943
Avant-Garde and Religious,0.8253802606632314,0.6114072978557923,0.6943134727148134
Avant-Garde and Children's,0.831943222986349,0.6251234395445695,0.7362780496819568
Avant-Garde and Jazz,0.8289379135312859,0.6094064085594069,0.7173459418774584
Avant-Garde and Stage & Screen,0.7660355255168295,0.5719094824772475,0.673771058776521
Avant-Garde and R&B;,0.815428888190797,0.6000427597691164,0.7003161735917048
Avant-Garde and Vocal,0.8403644377333918,0.6726093289550831,0.7762403000519437
Avant-Garde and Classical,0.7924978017871959,0.6022964122107433,0.7125516139836573
Avant-Garde and Country,0.8447967504391083,0.6345409490216638,0.7530250093926746
Avant-Garde and Comedy/Spoken,0.7391270563400769,0.4945115623742925,0.6107015831201467
Avant-Garde and Reggae,0.778128611972311,0.5733782494704088,0.683974350669201
Avant-Garde and Pop/Rock,0.7684354327514682,0.6039922822027053,0.6800914718272563
International and Blues,0.8160372748590957,0.6838268275579219,0.753805847519542
International and Religious,0.8230370230463828,0.6805093927946974,0.7572409995047419
International and Children's,0.8665378467916269,0.7201148214698279,0.792771243806812
International and Jazz,0.7834518339786071,0.5854265065128792,0.7117815863842221
International and Stage & Screen,0.7496752091597358,0.5336565806275879,0.6645921787547973
International and R&B;,0.8085575239513403,0.6426773304775293,0.7440101699979803
International and Vocal,0.8491909407754917,0.6742549363687432,0.7724965286867621
International and Classical,0.773358317378722,0.5622731334220243,0.6735329339293349
International and Country,0.8200970110499316,0.6367638168630344,0.754535778530067
International and Comedy/Spoken,0.7885865354050995,0.5384644325039745,0.6576504325780962
International and Reggae,0.8072646797056415,0.5985612374713796,0.7130952833068149
International and Pop/Rock,0.7753188139536404,0.5971224934834197,0.7167728677553886
Blues and Religious,0.8172247205127391,0.7006243312117247,0.7733730844042968
Blues and Children's,0.8571558179448097,0.7343029851702885,0.8111186529145741
Blues and Jazz,0.8028174586535531,0.6116536684292645,0.713499136044822
Blues and Stage & Screen,0.7845540024625572,0.5698496771461861,0.6654910948912692
Blues and R&B;,0.8056631341296895,0.7267453642266563,0.7707679619480338
Blues and Vocal,0.853219206972073,0.7231597109130117,0.7868727401577321
Blues and Classical,0.767835950291418,0.5488471582261727,0.6639910067429106
Blues and Country,0.8652804489592765,0.7647466045624154,0.8146712710736691
Blues and Comedy/Spoken,0.8088453560347136,0.5226401883666741,0.6675993897672784
Blues and Reggae,0.8102726813085419,0.6671114623785255,0.7403745167280893
Blues and Pop/Rock,0.8000932722436292,0.6724338744067647,0.739003033222614
Religious and Children's,0.8360433367196216,0.7163662248510861,0.7837424317226247
Religious and Jazz,0.7362450795660416,0.48814015241925035,0.6478413227095028
Religious and Stage & Screen,0.6648953870967665,0.3994516454629418,0.5785483139188818
Religious and R&B;,0.853136973641799,0.719183650231306,0.7817767822845028
Religious and Vocal,0.7991957730703337,0.6918697759240163,0.7533128379902727
Religious and Classical,0.71714084782354,0.4757704734254965,0.578613018504166
Religious and Country,0.8473476634926085,0.7508433103718578,0.8118866174254098
Religious and Comedy/Spoken,0.7962626698391084,0.5674924413072725,0.6820425794739541
Religious and Reggae,0.82856233664099,0.6696811998343075,0.7560210791043525
Religious and Pop/Rock,0.8127086423496063,0.6796011665141628,0.7655512940838523
Children's and Jazz,0.7639705349840492,0.6007329218484854,0.6766283820446801
Children's and Stage & Screen,0.7381695572528131,0.5051040443239181,0.6211765249654307
Children's and R&B;,0.867596025392201,0.7136494773056158,0.7934017634260505
Children's and Vocal,0.8719289636013062,0.7522157631890254,0.8215128828852571
Children's and Classical,0.7497582541917647,0.5398028439764995,0.6460028856975383
Children's and Country,0.8783530414005971,0.7770538860273981,0.8349794066079451
Children's and Comedy/Spoken,0.8373884360434478,0.5755224193428531,0.7081534261206045
Children's and Reggae,0.8351923631091599,0.6280310423961066,0.7618154349764165
Children's and Pop/Rock,0.8118640072392622,0.6440739137504895,0.7470498963530127
Jazz and Stage & Screen,0.7945161032346949,0.6248090511625564,0.7206402620286559
Jazz and R&B;,0.7570790734973545,0.5230877669302096,0.6858839600448722
Jazz and Vocal,0.7983891780108258,0.5839090459238406,0.7105532949602151
Jazz and Classical,0.8003337124530898,0.6645237235231491,0.7286302008532711
Jazz and Country,0.7905369060323889,0.5842259113956678,0.7015655164687377
Jazz and Comedy/Spoken,0.682779206522046,0.40067100132721917,0.5401422418029459
Jazz and Reggae,0.7251422914708999,0.4749701189072764,0.6559742031817067
Jazz and Pop/Rock,0.7475586711739561,0.606917455903672,0.6774422307364263
Stage & Screen and R&B;,0.7323139216734359,0.5302987579189206,0.6202703290580658
Stage & Screen and Vocal,0.7906998776573069,0.5117156077870691,0.6796909797759318
Stage & Screen and Classical,0.7925005374408763,0.6325400304650641,0.7327558715799269
Stage & Screen and Country,0.7540131245342271,0.496924199137546,0.6296410101184299
Stage & Screen and Comedy/Spoken,0.7116748664464789,0.41172473508720875,0.5594207649180806
Stage & Screen and Reggae,0.7253136144176489,0.4344081467759731,0.5940202313054652
Stage & Screen and Pop/Rock,0.7029534073216074,0.4211669247992381,0.5991392450155809
R&B; and Vocal,0.833905881307156,0.6715395398773465,0.7676431391471806
R&B; and Classical,0.7312160750907576,0.47444934845611053,0.5861980063410607
R&B; and Country,0.8538822037533295,0.7564365039720604,0.8020855446334032
R&B; and Comedy/Spoken,0.7720336086873054,0.5227902753658288,0.672719614425975
R&B; and Reggae,0.7899293036298968,0.6769927067666619,0.7410135439385627
R&B; and Pop/Rock,0.805026822386715,0.6528739569584371,0.7544963594808644
Vocal and Classical,0.7571963798767976,0.6024604804840427,0.6973168325094621
Vocal and Country,0.8513376483302953,0.7325157473590953,0.8109524101309202
Vocal and Comedy/Spoken,0.8376962974450569,0.43363528492025677,0.6737244210130849
Vocal and Reggae,0.8143103575642869,0.5354489330760963,0.7095615607549811
Vocal and Pop/Rock,0.7973661912545735,0.6821601490828697,0.7487020597374812
Classical and Country,0.7143511810701305,0.5108926898522974,0.6284175933385788
Classical and Comedy/Spoken,0.6755536024703541,0.3835018877045813,0.5399385745163016
Classical and Reggae,0.672064911721971,0.5021281800501278,0.5905806843963273
Classical and Pop/Rock,0.6838386725112763,0.5094690039073304,0.6047199724025162
Country and Comedy/Spoken,0.7880847505382395,0.439308916493992,0.6532878031225815
Country and Reggae,0.8345181262975081,0.6712913639018846,0.7444048581250978
Country and Pop/Rock,0.8521407739495445,0.7052416317892871,0.7689562971633035
Comedy/Spoken and Reggae,0.7815157548245797,0.5124955287999693,0.6982668828246971
Comedy/Spoken and Pop/Rock,0.7557658068336689,0.47682830063759496,0.6257171389138605
Reggae and Pop/Rock,0.8267439947860172,0.6379812772307792,0.7440238590754785
